0,0
1,0
8,1.3889
10,2.8056
12,3.0278
13,3.1111
14,3.1389
15,5.0278
19,5.9167
20,6.1667
24,5.6389
25,5.6667
29,4.3056
35,3.8889
37,3.9167
38,3.8611
39,3.75
43,4.3056
44,4.3333
45,4.3333
49,4.5
52,4.0833
53,3.8611
54,3.8611
58,4.0833
60,4.0278
61,3.9444
63,3.8611
70,3.5
76,3.4167
77,3.4167
78,3.4167
79,3.4167
81,3.4444
87,3.3333
88,3.3056
89,3.2778
92,3.2222
97,3.1944
98,3.1667
100,3.1944
104,3.25
110,3.3889
112,3.3889
116,3.3056
117,3.2778
122,3.1111
125,3.1111
127,3.0833
128,3.0833
129,3.1111
133,3.2778
134,3.2778
138,3.3056
140,3.3333
141,3.2778
142,3.3056
144,3.25
149,3.1111
150,3.1111
151,3.1111
152,3.1111
154,3.1389
156,3.1667
159,3.2778
164,3.3889
165,3.3611
168,3.4167
169,3.3333
170,3.2778
171,3.3056
174,3.1667
175,3.1111
176,3.0556
177,3.0556
183,3.0278
188,3.0556
189,3.0556
194,3.1667
197,3.2222
198,3.25
200,3.3056
204,3.3056
207,3.3056
208,3.3056
209,3.2778
210,3.2778
211,3.2778
214,3.1944
215,3.1667
219,3.0833
221,3.0833
227,3.0833
232,3.1667
239,3.2222
244,3.2222
249,3.1944
254,3.1111
261,3.1111
268,3.1667
275,3.1111
282,3.0556
288,3.1389
293,3.3056
300,3.4444
306,3.3333
312,3.3333
313,3.3333
318,3.3611
324,3.3333
331,3.25
336,3.2222
342,3.1944
348,3.1667
354,3.3333
360,3.4444
365,3.4167
371,3.4722
377,3.5
383,3.4167
389,3.3056
394,3.2778
400,3.4167
405,3.4167
411,3.3611
412,3.3611
417,3.4444
423,3.3056
429,3.1111
434,3.0556
440,3.1111
447,3.0833
454,3.1667
460,3.3889
462,3.4444
468,3.4444
473,3.7222
474,3.7778
479,3.8056
485,3.5278
492,3.3611
499,3.3056
505,3.2778
510,3.1944
515,3.1944
521,3.1667
527,3.0556
533,3.0833
538,3.3056
543,3.3889
548,3.3889
554,3.4444
555,3.4722
560,3.4444
566,3.1944
572,3.1389
578,3.2778
584,3.3333
586,3.3056
592,3.2778
598,3.2778
604,3.25
610,3.2778
614,3.25
618,3.4167
624,3.5278
626,3.5833
632,3.5
638,3.3889
642,3.4167
643,3.4444
647,3.4722
648,3.5
654,3.5
656,3.5556
662,3.5833
668,3.4167
674,3.25
679,3.3056
685,3.5
691,3.3889
697,3.2778
703,3.3056
709,3.4722
710,3.5278
715,3.6389
721,3.6389
722,3.7222
728,3.6944
729,3.6389
734,3.3333
741,3.0833
746,3.1389
752,3.2222
754,3.3056
760,3.4722
761,3.4722
766,3.4722
771,3.3333
777,3.2778
783,3.3611
790,3.3056
797,3.3056
804,3.2778
809,3.2778
813,3.3333
818,3.4444
824,3.4444
825,3.4444
831,3.4167
837,3.3611
842,3.3611
848,3.3889
853,3.4167
859,3.3056
864,3.25
870,3.1667
876,3.2222
877,3.25
883,3.3611
884,3.3889
891,3.3056
892,3.3333
898,3.3611
904,3.3889
910,3.3611
911,3.3611
917,3.3333
923,3.3333
929,3.3889
935,3.3889
941,3.3611
947,3.3611
952,3.3889
957,3.3611
962,3.3056
968,3.3056
974,3.3889
981,3.3889
987,3.3611
992,3.3611
998,3.2778
1003,3.25
1008,3.3333
1014,3.3611
1015,3.3611
1021,3.3056
1027,3.2778
1032,3.3056
1038,3.1111
1043,3.0556
1049,3.1944
1055,3.2778
1061,3.3056
1067,3.3056
1073,3.3333
1078,3.3056
1084,3.2222
1090,3.25
1097,3.2778
1102,3.1667
1108,3.1667
1113,3.0833
1119,3.1944
1126,3.25
1131,3.0556
1137,3
1142,3.1944
1148,3.3889
1153,3.3056
1157,3.1667
1162,3.1667
1168,3.2778
1173,3.25
1179,3.2778
1184,3.25
1189,3.1944
1194,3.1667
1200,3.1667
1206,3.1389
1212,3.1111
1217,3.1944
1219,3.2222
1224,3.3056
1230,3.25
1236,3.2778
1242,3.3611
1249,3.1389
1254,3.0833
1260,3.1667
1267,3.1944
1273,3.2778
1278,3.2778
1284,3.3056
1290,3.3333
1296,3.3056
1302,3.3333
1307,3.25
1311,3.25
1316,3.3056
1321,3.4444
